"reference_date","reference_date_utc_offset","delivery_begin","delivery_begin_utc_offset","delta_base","delta_co2","delta_fuel","delta_marginal_cost","delta_peak","eh20_bucket","eoh","full_eur_per_mwh","full_mio_eur","gamma_co2","gamma_fuel","gamma_marginal_cost","gamma_power","hours","number_of_starts","pmax","running_hours","season","spread_eur_per_mwh","static_eur_per_mwh","static_mio_eur","term_flex_eur_per_mwh","term_flex_mio_eur"
"2020-12-14 00:00:00","1","2022-05-01 00:00:00","2","275.73722611134247","-64040.748946916014","-470.2533999059722","-242.90382170667775","91.59660454995975","5.0","4755.4853183175555","7.306128737571887","2.614600454542426","3681.4822904812263","27.033249802051113","13.963704869294899","12.017651735679202","744.0","211.7741179107773","481.0","520.0029601020093","1.0","3.004922400680499","3.4366467039145188","1.2298521360496655","3.8694820336573685","1.3847483184927607"
"2020-12-14 00:00:00","1","2022-06-01 00:00:00","2","306.71656363705324","-70868.52981961779","-537.7363615629375","-275.6715026109971","79.82924421417492","6.0","6071.028143040845","9.755644374583316","3.2451175447613942","3254.328093361661","24.693196722304876","12.659011239116301","9.107662482271872","720.0","275.1077156627347","462.0","568.8738297861513","1.0","6.890618710151699","6.607749529995418","2.198001803657676","3.1478948445878974","1.0471157411037182"
"2020-12-14 00:00:00","1","2022-07-01 00:00:00","2","255.00078585915657","-57798.37544592231","-424.4154387547293","-217.5773298885016","86.3449408891249","7.0","5165.639908341894","6.631193384246017","2.279326839580115","3332.916808279999","24.473721598674512","12.546496926450029","11.387989349690537","744.0","233.15173402964663","462.0","502.60522774896043","1.0","1.9252676656104128","2.4942434926444386","0.8573413272396875","4.136949891601578","1.4219855123404275"
"2020-12-14 00:00:00","1","2022-08-01 00:00:00","2","255.3587847662373","-57745.515980909","-424.0272899034357","-217.37834468920835","82.57408161250059","8.0","5476.9485856877145","6.850076390222252","2.3545630574583143","3263.413721992071","23.963358069697858","12.284858155171998","11.067648773087424","744.0","248.94771179577143","462.0","497.994349772286","1.0","2.072144173551969","2.5603512563272504","0.880064416634853","4.289725133895002","1.4744986408234613"
"2020-12-14 00:00:00","1","2022-09-01 00:00:00","2","328.9585786364981","-74357.21773385526","-564.2078341672885","-290.8348103694622","74.49452956172809","9.0","7440.606928737845","11.415429811512988","3.9122961050017313","3084.241151689576","23.402610711886517","12.063451509118506","8.155419048614428","720.0","343.03807815827446","476.0","579.8453655723564","1.0","8.29232958828856","8.098067801722651","2.775369797006387","3.3173620097903367","1.1369263079953442"
"2020-12-14 00:00:00","1","2022-10-01 00:00:00","2","260.6047740447094","-58989.75738496768","-432.5823689807006","-222.98522571448723","99.7139933684072","10.0","6316.613944580748","7.955212340237566","2.8210774000950454","2961.0478913281454","21.713890144298972","11.192958941842827","9.99790553990337","745.0","289.711753319433","476.0","522.3788781920875","1.0","2.3685439260757235","3.7607097469840136","1.3336228904754708","4.194502593253552","1.4874545096195746"
"2020-12-14 00:00:00","1","2022-11-01 00:00:00","1","321.5567125035558","-74313.9301311586","-563.8793764155314","-290.665498739666","90.09919848828127","11.0","8470.863036846962","13.108843653770387","4.492662897020187","2708.0492713672547","20.548141267001174","10.592044999965882","6.956599588244004","720.0","393.52628443887176","476.0","600.3373480695278","1.0","9.63360099233877","9.815458767709671","3.363954028869459","3.293384886060716","1.1287088681507282"
"2020-12-14 00:00:00","1","2022-12-01 00:00:00","1","316.99063305218255","-74662.49986074875","-548.2492785039027","-282.9158162846702","97.69931263403093","12.0","8078.475678104176","12.318537214764943","4.509175910390278","2935.1689863243955","21.55304579997549","11.122125983568516","7.9091646652502705","744.0","373.8553406632341","492.0","601.3688648394941","1.0","7.836651930531026","8.531450230977775","3.1229202941489524","3.7870869837871677","1.3862556162413253"
"2020-12-15 00:00:00","1","2021-01-01 00:00:00","1","339.8355791175514","-96955.7987939811","-711.9497315882751","-367.3909795478461","152.1644208824486","1.0","1562.4919098168127","6.645229174369444","2.432472848819586","5855.431901424184","42.99663581144322","22.187768949343997","17.461733152222624","744.0","42.273146460926704","492.0","717.0289805982786","1.0","5.638124055334977","6.2071742592963375","2.2721237232669056","0.43805491507310634","0.16034912555268033"
"2020-12-15 00:00:00","1","2021-02-01 00:00:00","1","328.4368628423789","-83401.7527412317","-678.0385431586292","-349.8916194357138","132.7952167864506","2.0","2426.860690272196","8.031239371319089","2.655320485903002","4334.194415526938","35.236080426128844","18.183050753179547","13.837209375779626","672.0","91.18442252368837","492.0","603.1722397984283","1.0","6.488481222572581","6.912106985828977","2.2853084600827196","1.1191323854901114","0.37001202582028236"
"2020-12-15 00:00:00","1","2021-03-01 00:00:00","1","275.05302940442755","-72939.48615532141","-536.3179877120458","-277.02870174110245","109.93019640152161","3.0","2454.5160279042584","5.75798508267032","2.057805982799967","5159.834782903403","37.9398368916461","19.59737319868721","17.052171696339947","743.0","94.95772954190282","481.0","555.3614370662019","1.0","3.1301663589852993","3.480009836056365","1.2436963552393319","2.277975246613955","0.814109627560635"
"2020-12-15 00:00:00","1","2021-04-01 00:00:00","2","267.5136047959755","-68851.72890956316","-522.4332758896492","-269.8567183686688","113.31252539976096","4.0","2108.1398179899734","5.094073484422529","1.7641795291252103","5483.640959134035","41.608781006008115","21.492522807780848","19.045946572002155","720.0","79.3812884537379","481.0","520.5140489152155","1.0","2.539226409435493","2.845870769747024","0.9855819649787894","2.2482027146755046","0.7785975641464209"
"2020-12-15 00:00:00","1","2021-05-01 00:00:00","2","236.3944941261809","-60963.614027649586","-447.65789342690385","-231.2323805682168","113.54150743755505","5.0","2083.598173459208","4.137718377764791","1.480740449540419","5534.658685871403","40.641187168306594","20.99272367589892","20.193010535110766","744.0","80.51810825240906","481.0","473.23600841102626","1.0","0.7838551016797908","1.3682653936372193","0.48965292682858985","2.7694529841275712","0.9910875227118292"
